Name,Event Name,Date,Time,Level,Race Id,Athlete's Club,Entry Club,Place,Seat No.,Seat,Status,Adj. Time
"Carr-Middleton, Oscar",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,2,5,5,Finished,5:38.034
"Warley, Aubrey",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,2,6,6,Finished,5:38.034
"Stourton, Sam",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,2,7,7,Finished,5:38.034
"Pearson, Henryy",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,2,8,Stroke,Finished,5:38.034
"Dawson, Matthew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley College,Radley College,3,0,Coxswain,Finished,5:38.200
"A Brassard, William",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley College,Radley College,3,1,Bow,Finished,5:38.200
"Innes-Ker, James",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley College,Radley College,3,2,2,Finished,5:38.200
"McChesney, Archie",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley College,Radley College,3,3,3,Finished,5:38.200
"Senior, Max",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley College,Radley College,3,4,4,Finished,5:38.200
"Miles, Luke",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley College,Radley College,3,5,5,Finished,5:38.200
"Metcalf, Theo",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley College,Radley College,3,6,6,Finished,5:38.200
"Gearing, Rory",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley College,Radley College,3,7,7,Finished,5:38.200
"Turner, Isaac",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley College,Radley College,3,8,Stroke,Finished,5:38.200
"Perry, Oliver",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,4,0,Coxswain,Finished,5:39.307
"Hodson, James",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,4,1,Bow,Finished,5:39.307
"Rorke, Kuttel",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,4,2,2,Finished,5:39.307
"Vignial, Pierre",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,4,3,3,Finished,5:39.307
"Nunayon, Simon",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,4,4,4,Finished,5:39.307
"Taylor, Richard",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,4,5,5,Finished,5:39.307
"Rusis, Alex",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,4,6,6,Finished,5:39.307
"Pooley, Guy",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,4,7,7,Finished,5:39.307
"Power, Kian",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Eton Coll,Eton Coll,4,8,Stroke,Finished,5:39.307
"Swindells, Harriet",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,5,0,Coxswain,Finished,5:39.462
"Crouchley, George",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,5,1,Bow,Finished,5:39.462
"McManus, Calum",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,5,2,2,Finished,5:39.462
"Daly, Oliver",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,5,3,3,Finished,5:39.462
"Coulthard, Jack",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,5,4,4,Finished,5:39.462
"Boyes, Peter",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,5,5,5,Finished,5:39.462
"Gray, Ben",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,5,6,6,Finished,5:39.462
"Giambrone, Adam",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,5,7,7,Finished,5:39.462
"Muscroft, Robert",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Nottingham Univ,Nottingham Univ,5,8,Stroke,Finished,5:39.462
"Thomas, Leah",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Latymer Upper Sch,Latymer Upper Sch,6,0,Coxswain,Finished,5:39.753
"Dimond-Brown, Farley",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Latymer Upper Sch,Latymer Upper Sch,6,1,Bow,Finished,5:39.753
"Brett, Mathew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Latymer Upper Sch,Latymer Upper Sch,6,2,2,Finished,5:39.753
"Ward, Ethan",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Latymer Upper Sch,Latymer Upper Sch,6,3,3,Finished,5:39.753
"Newton, Dominic",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Latymer Upper Sch,Latymer Upper Sch,6,4,4,Finished,5:39.753
"Morgan, Matthew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Latymer Upper Sch,Latymer Upper Sch,6,5,5,Finished,5:39.753
"McChesney, Oliver",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Latymer Upper Sch,Latymer Upper Sch,6,6,6,Finished,5:39.753
"Phelps, James",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Latymer Upper Sch,Latymer Upper Sch,6,7,7,Finished,5:39.753
"Traeger, Flynn",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Latymer Upper Sch,Latymer Upper Sch,6,8,Stroke,Finished,5:39.753
"Jasson, Diego",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Brunswick School,Brunswick School,7,0,Coxswain,Finished,5:41.725
"Ruf, Christian",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Brunswick School,Brunswick School,7,1,Bow,Finished,5:41.725
"Kimberlin, Tommy",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Brunswick School,Brunswick School,7,2,2,Finished,5:41.725
"Michalik, Henry",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Brunswick School,Brunswick School,7,3,3,Finished,5:41.725
"Gibbons, William",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Brunswick School,Brunswick School,7,4,4,Finished,5:41.725
"Mozingo, John",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Brunswick School,Brunswick School,7,5,5,Finished,5:41.725
"Jacobson, Matthew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Brunswick School,Brunswick School,7,6,6,Finished,5:41.725
"Sammons, Austin",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Brunswick School,Brunswick School,7,7,7,Finished,5:41.725
"Sorbaro, David",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Brunswick School,Brunswick School,7,8,Stroke,Finished,5:41.725
"Lodge, Christopher",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,8,0,Coxswain,Finished,5:41.950
"Roberts, Austin",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,8,1,Bow,Finished,5:41.950
"King, Alex",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,8,2,2,Finished,5:41.950
"Christian, Thomas",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,8,3,3,Finished,5:41.950
"Mitchell, Oliver",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,8,4,4,Finished,5:41.950
"Abraham, Trent",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,8,5,5,Finished,5:41.950
"Christian, George",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,8,6,6,Finished,5:41.950
"Sheridan, Connor",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,8,7,7,Finished,5:41.950
"Roese, Lennart",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,8,8,Stroke,Finished,5:41.950
"Burden, William",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,9,0,Coxswain,Finished,5:41.968
"Strawson, Freddie",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,9,1,Bow,Finished,5:41.968
"Beaty, Fred",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,9,2,2,Finished,5:41.968
"Costley, Oliver",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,9,3,3,Finished,5:41.968
"Willcox, David",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,9,4,4,Finished,5:41.968
"Oliver, Harrison",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,9,5,5,Finished,5:41.968
"Johnson, Edward",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,9,6,6,Finished,5:41.968
"Lambe, Henry",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,9,7,7,Finished,5:41.968
"Steel, James",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,9,8,Stroke,Finished,5:41.968
"Cackett, Anna",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,10,0,Coxswain,Finished,5:42.399
"Graham, Toby",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,10,1,Bow,Finished,5:42.399
"Sharratt, Richard",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,10,2,2,Finished,5:42.399
"McWilliam, Matthew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,10,3,3,Finished,5:42.399
"Rawlins, Thomas",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,10,4,4,Finished,5:42.399
"Rimmer, Tom",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,10,5,5,Finished,5:42.399
"Bakalli, Dritan",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,10,6,6,Finished,5:42.399
"Pepper, Nick",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,10,7,7,Finished,5:42.399
"Ciccarelli, John",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,10,8,Stroke,Finished,5:42.399
"Marcus, Charlie",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,11,0,Coxswain,Finished,5:43.225
"Turner, Matthew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,11,1,Bow,Finished,5:43.225
"Downey, Bill",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,11,2,2,Finished,5:43.225
"Ladhur, Piero",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,11,3,3,Finished,5:43.225
"O'Loughlin, Harry",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,11,4,4,Finished,5:43.225
"Cross, Tom",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,11,5,5,Finished,5:43.225
"Hamilton, Matthew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,11,6,6,Finished,5:43.225
"Woodall, Oli",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,11,7,7,Finished,5:43.225
"Davis, Tom",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,11,8,Stroke,Finished,5:43.225
"Hoyle, Freya",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Agecroft,Agecroft,12,0,Coxswain,Finished,5:43.877
"Gallie, Hugh",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Agecroft,Agecroft,12,1,Bow,Finished,5:43.877
"Jepson, Andrew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Agecroft,Agecroft,12,2,2,Finished,5:43.877
"Thomas, Andrew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Agecroft,Agecroft,12,3,3,Finished,5:43.877
"Cockerill, Connor",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Agecroft,Agecroft,12,4,4,Finished,5:43.877
"Lee, Oliver",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Agecroft,Agecroft,12,5,5,Finished,5:43.877
"Heap, Benjamin",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Agecroft,Agecroft,12,6,6,Finished,5:43.877
"Taylor, Harry",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Agecroft,Agecroft,12,7,7,Finished,5:43.877
"Adey-Johnson, Benedict",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Agecroft,Agecroft,12,8,Stroke,Finished,5:43.877
"Stocker, Florence",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,13,0,Coxswain,Finished,5:43.906
"Santos, Pedro",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,13,1,Bow,Finished,5:43.906
"Gibson, Dennis Alexander",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,13,2,2,Finished,5:43.906
"Green, James",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,13,3,3,Finished,5:43.906
"Gordon, Andrew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,13,4,4,Finished,5:43.906
"Beedell, Harry",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,13,5,5,Finished,5:43.906
"Symons, Thomas",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,13,6,6,Finished,5:43.906
"Seely, Toby",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,13,7,7,Finished,5:43.906
"Lanatta, Jordi",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,13,8,Stroke,Finished,5:43.906
"Searle, Beatrice",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,0,Coxswain,Finished,5:44.028
"Coverdale, Ben",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,1,Bow,Finished,5:44.028
"Bright, Joe",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,2,2,Finished,5:44.028
"Forsythe, Cameron",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,3,3,Finished,5:44.028
"Peck, Jack",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,4,4,Finished,5:44.028
"Jarvis, Aaron",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,5,5,Finished,5:44.028
"Leech, Robert",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,6,6,Finished,5:44.028
"Weston, Ben",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,7,7,Finished,5:44.028
"Daniell, Christopher",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Upper Thames RC,Upper Thames RC,14,8,Stroke,Finished,5:44.028
"Lofstedt, Asa",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,15,0,Coxswain,Finished,5:44.145
"Smith, Jack",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,15,1,Bow,Finished,5:44.145
"Dzieweczynski, Michal",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,15,2,2,Finished,5:44.145
"Wheatley, Henry",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,15,3,3,Finished,5:44.145
"Laws, Alex",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,15,4,4,Finished,5:44.145
"Baker, Sam",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,15,5,5,Finished,5:44.145
"Storey, Hugo",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,15,6,6,Finished,5:44.145
"Nelson, George",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,15,7,7,Finished,5:44.145
"Fuller, Robert",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,15,8,Stroke,Finished,5:44.145
"Shuker, Samuel",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,St Edwards Sch,St Edwards Sch,16,0,Coxswain,Finished,5:44.156
"Peiker, Valentin",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,St Edwards Sch,St Edwards Sch,16,1,Bow,Finished,5:44.156
"Hayter, George",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,St Edwards Sch,St Edwards Sch,16,2,2,Finished,5:44.156
"Gowans, Alexander",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,St Edwards Sch,St Edwards Sch,16,3,3,Finished,5:44.156
"Mulot, Thibault",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,St Edwards Sch,St Edwards Sch,16,4,4,Finished,5:44.156
"Dei Rossi, Nicola",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,St Edwards Sch,St Edwards Sch,16,5,5,Finished,5:44.156
"Nelson, Campbell",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,St Edwards Sch,St Edwards Sch,16,6,6,Finished,5:44.156
"Thompson, Max",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,St Edwards Sch,St Edwards Sch,16,7,7,Finished,5:44.156
"Singfield, Barnaby",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,St Edwards Sch,St Edwards Sch,16,8,Stroke,Finished,5:44.156
"Russo, Sara",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,17,0,Coxswain,Finished,5:45.492
"Hawkswell, George",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,17,1,Bow,Finished,5:45.492
"Roe, Thomas",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,17,2,2,Finished,5:45.492
"Ventham, Hugo",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,17,3,3,Finished,5:45.492
"Wordsworth, Thomas",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,17,4,4,Finished,5:45.492
"Marsden, Andrew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,17,5,5,Finished,5:45.492
"Philpott, Sam",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,17,6,6,Finished,5:45.492
"Fiddian, Guy",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,17,7,7,Finished,5:45.492
"Rice, Nicholas",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cantabrigian,Cantabrigian,17,8,Stroke,Finished,5:45.492
"McWilliam, Alice",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Itchen Imperial Rowing Club,Itchen Imperial Rowing Club,18,0,Coxswain,Finished,5:45.881
"Harrison, Wayne",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Itchen Imperial Rowing Club,Itchen Imperial Rowing Club,18,1,Bow,Finished,5:45.881
"Aitchison, Harry",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Itchen Imperial Rowing Club,Itchen Imperial Rowing Club,18,2,2,Finished,5:45.881
"Chafer, Lanty",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Itchen Imperial Rowing Club,Itchen Imperial Rowing Club,18,3,3,Finished,5:45.881
"Williams, Zach",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Itchen Imperial Rowing Club,Itchen Imperial Rowing Club,18,4,4,Finished,5:45.881
"Newbold, Charles",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Itchen Imperial Rowing Club,Itchen Imperial Rowing Club,18,5,5,Finished,5:45.881
"Wardell, M",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Itchen Imperial Rowing Club,Itchen Imperial Rowing Club,18,6,6,Finished,5:45.881
"Hayward, Oliver",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Itchen Imperial Rowing Club,Itchen Imperial Rowing Club,18,7,7,Finished,5:45.881
"Symes, Tristan",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Itchen Imperial Rowing Club,Itchen Imperial Rowing Club,18,8,Stroke,Finished,5:45.881
"Tarling, Samantha",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,19,0,Coxswain,Finished,5:48.125
"Thorn, Nicholas",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,19,1,Bow,Finished,5:48.125
"Sargent, Robert",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,19,2,2,Finished,5:48.125
"Moore, Matthew",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,19,3,3,Finished,5:48.125
"Young, William",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,19,4,4,Finished,5:48.125
"Shaw, William",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,19,5,5,Finished,5:48.125
"Van Gent, Friso",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,19,6,6,Finished,5:48.125
"Kabelik, Karel",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,19,7,7,Finished,5:48.125
"Wright, Adam",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Cambridge 99,Cambridge 99,19,8,Stroke,Finished,5:48.125
"Gearing, Sean",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley Mariners,Radley Mariners,20,0,Coxswain,Finished,5:48.814
"Brocklebank-Fowler, James",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley Mariners,Radley Mariners,20,1,Bow,Finished,5:48.814
"Bevan, Charlie",Tier 2 Eights,6/23/2018,8:30 AM,Time Trial,TT 1,Radley Mariners,Radley Mariners,20,2,2,Finished,5:48.814
