Name,Event Name,Date,Time,Level,Race Id,Athlete's Club,Entry Club,Place,Seat No.,Seat,Status,Adj. Time
"Snowball, James",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,3,7,7,Finished,5:38.183
"Tawns, Patrick",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,3,8,Stroke,Finished,5:38.183
"Dawson, Matthew",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Radley College,Radley College,4,0,Coxswain,Finished,5:38.814
"Bowesman-Jones, Joshua",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Radley College,Radley College,4,1,Bow,Finished,5:38.814
"Miles, Luke",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Radley College,Radley College,4,2,2,Finished,5:38.814
"Heagerty, William",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Radley College,Radley College,4,3,3,Finished,5:38.814
"Elwes, Freddie",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Radley College,Radley College,4,4,4,Finished,5:38.814
"Dunlap, Max",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Radley College,Radley College,4,5,5,Finished,5:38.814
"Innes-Ker, James",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Radley College,Radley College,4,6,6,Finished,5:38.814
"Senior, Max",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Radley College,Radley College,4,7,7,Finished,5:38.814
"McChesney, Archie",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Radley College,Radley College,4,8,Stroke,Finished,5:38.814
"Burge, Emily",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,5,0,Coxswain,Finished,5:40.635
"Moss, Simon",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,5,1,Bow,Finished,5:40.635
"Abdalla, Joe",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,5,2,2,Finished,5:40.635
"Symons, Thomas",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,5,3,3,Finished,5:40.635
"Gordon, Andrew",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,5,4,4,Finished,5:40.635
"Bouch, Charlie",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,5,5,5,Finished,5:40.635
"Thornton, Sam",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,5,6,6,Finished,5:40.635
"Jones, Huw",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,5,7,7,Finished,5:40.635
"Tyrie, Sebastien",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Thames RC,Thames RC,5,8,Stroke,Finished,5:40.635
"Marcus, Charlie",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,6,0,Coxswain,Finished,5:41.563
"Hamilton, Matthew",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,6,1,Bow,Finished,5:41.563
"Turner, Matthew",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,6,2,2,Finished,5:41.563
"Davis, Tom",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,6,3,3,Finished,5:41.563
"Gilligan, Rory",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,6,4,4,Finished,5:41.563
"Butler, Edward",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,6,5,5,Finished,5:41.563
"Worthington, Thomas",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,6,6,6,Finished,5:41.563
"Cross, Tom",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,6,7,7,Finished,5:41.563
"Ladhur, Piero",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Hampton Sch BC,Hampton Sch BC,6,8,Stroke,Finished,5:41.563
"Cockle, Scott",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Molesey BC,Molesey BC,7,0,Coxswain,Finished,5:42.106
"Steel, Fraser",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Molesey BC,Molesey BC,7,1,Bow,Finished,5:42.106
"Ellis, Laurence",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Molesey BC,Molesey BC,7,2,2,Finished,5:42.106
"Warren, Felix",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Molesey BC,Molesey BC,7,3,3,Finished,5:42.106
"Rae, Christopher",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Molesey BC,Molesey BC,7,4,4,Finished,5:42.106
"Osborne, Theo",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Molesey BC,Molesey BC,7,5,5,Finished,5:42.106
"Greig, Jake",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Molesey BC,Molesey BC,7,6,6,Finished,5:42.106
"Hardy, Matthew",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Molesey BC,Molesey BC,7,7,7,Finished,5:42.106
"Darlow, Theo",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Molesey BC,Molesey BC,7,8,Stroke,Finished,5:42.106
"Shields, Edward",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Team Keane,Team Keane,8,0,Coxswain,Finished,5:42.336
"Boljevic, Stevan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Team Keane,Team Keane,8,1,Bow,Finished,5:42.336
"Thurston, Charles",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Team Keane,Team Keane,8,2,2,Finished,5:42.336
"Shalders, Henry",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Team Keane,Team Keane,8,3,3,Finished,5:42.336
"Goble, James",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Team Keane,Team Keane,8,4,4,Finished,5:42.336
"McKirdy, George",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Team Keane,Team Keane,8,5,5,Finished,5:42.336
"Aldous, Benedict",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Team Keane,Team Keane,8,6,6,Finished,5:42.336
"Tveit, Jorgen",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Team Keane,Team Keane,8,7,7,Finished,5:42.336
"Boswall, Robert",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Team Keane,Team Keane,8,8,Stroke,Finished,5:42.336
"Rutstein, Jacob",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kent School BC (USA),Kent School BC (USA),9,0,Coxswain,Finished,5:42.369
"Rosen, Ari",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kent School BC (USA),Kent School BC (USA),9,1,Bow,Finished,5:42.369
"Cormie, Lachlan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kent School BC (USA),Kent School BC (USA),9,2,2,Finished,5:42.369
"Collins, Morgan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kent School BC (USA),Kent School BC (USA),9,3,3,Finished,5:42.369
"Sykes, Stewart",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kent School BC (USA),Kent School BC (USA),9,4,4,Finished,5:42.369
"Magnani, Christopher",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kent School BC (USA),Kent School BC (USA),9,5,5,Finished,5:42.369
"Robbins Lentz, Cooper",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kent School BC (USA),Kent School BC (USA),9,6,6,Finished,5:42.369
"Mortimer, Tom",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kent School BC (USA),Kent School BC (USA),9,7,7,Finished,5:42.369
"Belincevic, Bogdan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kent School BC (USA),Kent School BC (USA),9,8,Stroke,Finished,5:42.369
"Cooper, Tom",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,"King's College Boat Club, University of Queensland","King's College Boat Club, University of Queensland",10,0,Coxswain,Finished,5:44.000
"De Zwart, Blake",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,"King's College Boat Club, University of Queensland","King's College Boat Club, University of Queensland",10,1,Bow,Finished,5:44.000
"Ebert, Julian",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,"King's College Boat Club, University of Queensland","King's College Boat Club, University of Queensland",10,2,2,Finished,5:44.000
"Hasell, Ryan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,"King's College Boat Club, University of Queensland","King's College Boat Club, University of Queensland",10,3,3,Finished,5:44.000
"Scott, Harry",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,"King's College Boat Club, University of Queensland","King's College Boat Club, University of Queensland",10,4,4,Finished,5:44.000
"Hirst, Hugo",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,"King's College Boat Club, University of Queensland","King's College Boat Club, University of Queensland",10,5,5,Finished,5:44.000
"Apel, Elliot",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,"King's College Boat Club, University of Queensland","King's College Boat Club, University of Queensland",10,6,6,Finished,5:44.000
"Apel, Morgan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,"King's College Boat Club, University of Queensland","King's College Boat Club, University of Queensland",10,7,7,Finished,5:44.000
"Bowman, Lachlan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,"King's College Boat Club, University of Queensland","King's College Boat Club, University of Queensland",10,8,Stroke,Finished,5:44.000
"Man, Cheng-De",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,11,0,Coxswain,Finished,5:44.553
"Lamb, Christopher",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,11,1,Bow,Finished,5:44.553
"Lamb, Edward",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,11,2,2,Finished,5:44.553
"Christian, Thomas",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,11,3,3,Finished,5:44.553
"Sivills, Harry",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,11,4,4,Finished,5:44.553
"Sheridan, Jared",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,11,5,5,Finished,5:44.553
"Liggins, Thomas",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,11,6,6,Finished,5:44.553
"Sheridan, Connor",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,11,7,7,Finished,5:44.553
"Eggeling, Benedict",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bedford Sch,Bedford Sch,11,8,Stroke,Finished,5:44.553
"Hing, Adele",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,12,0,Coxswain,Finished,5:45.107
"Bedford, Andrew",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,12,1,Bow,Finished,5:45.107
"Wales, Peter",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,12,2,2,Finished,5:45.107
"Webber, Jonathan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,12,3,3,Finished,5:45.107
"Tunbridge, Sam",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,12,4,4,Finished,5:45.107
"Spurling, Cameron",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,12,5,5,Finished,5:45.107
"Bedford-Payne, Hal",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,12,6,6,Finished,5:45.107
"Pepper, Nick",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,12,7,7,Finished,5:45.107
"Fellows, George",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Kingston RC,Kingston RC,12,8,Stroke,Finished,5:45.107
"Presch, Skylar",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),13,0,Coxswain,Finished,5:45.156
"Whiton, Ian",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),13,1,Bow,Finished,5:45.156
"Bowman, Sean",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),13,2,2,Finished,5:45.156
"Yanick, Dillon",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),13,3,3,Finished,5:45.156
"Harjo, Mitchell",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),13,4,4,Finished,5:45.156
"Thiers, Michael",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),13,5,5,Finished,5:45.156
"Theirs, Jeffrey",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),13,6,6,Finished,5:45.156
"Anderson, Gerald",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),13,7,7,Finished,5:45.156
"Bourget, Charles",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Green Lake (USA),Green Lake (USA),13,8,Stroke,Finished,5:45.156
"Bell, Jessica",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,14,0,Coxswain,Finished,5:45.291
"Stanier, James",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,14,1,Bow,Finished,5:45.291
"McDonald, Ross",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,14,2,2,Finished,5:45.291
"Beverton, Max James",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,14,3,3,Finished,5:45.291
"Wei, Thomas",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,14,4,4,Finished,5:45.291
"Whittal-Williams, Evan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,14,5,5,Finished,5:45.291
"Brewer, Anthony",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,14,6,6,Finished,5:45.291
"Berry, Hugh",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,14,7,7,Finished,5:45.291
"Hernandez, Emilio",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Lea RC,Lea RC,14,8,Stroke,Finished,5:45.291
"Jones, Lucy",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Univ of London BC,Univ of London BC,15,0,Coxswain,Finished,5:45.608
"Denley, Matthew",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Univ of London BC,Univ of London BC,15,1,Bow,Finished,5:45.608
"Screaton, Guy",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Univ of London BC,Univ of London BC,15,2,2,Finished,5:45.608
"Langstone, Toby",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Univ of London BC,Univ of London BC,15,3,3,Finished,5:45.608
"Middleton, Charles",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Univ of London BC,Univ of London BC,15,4,4,Finished,5:45.608
"Fisher, Alexander",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Univ of London BC,Univ of London BC,15,5,5,Finished,5:45.608
"Carey, Will",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Univ of London BC,Univ of London BC,15,6,6,Finished,5:45.608
"Bruce, Thomas",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Univ of London BC,Univ of London BC,15,7,7,Finished,5:45.608
"Kroon, Hendrik",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Univ of London BC,Univ of London BC,15,8,Stroke,Finished,5:45.608
"Carbery, Anna",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Pembroke Coll (O) BC,Pembroke Coll (O) BC,16,0,Coxswain,Finished,5:47.165
"Buchanan, Charles",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Pembroke Coll (O) BC,Pembroke Coll (O) BC,16,1,Bow,Finished,5:47.165
"Rebick, Adam",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Pembroke Coll (O) BC,Pembroke Coll (O) BC,16,2,2,Finished,5:47.165
"Rolls, Edward",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Pembroke Coll (O) BC,Pembroke Coll (O) BC,16,3,3,Finished,5:47.165
"De Bruijn, Willem",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Pembroke Coll (O) BC,Pembroke Coll (O) BC,16,4,4,Finished,5:47.165
"Gergs, Carl",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Pembroke Coll (O) BC,Pembroke Coll (O) BC,16,5,5,Finished,5:47.165
"Dearlove, David",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Pembroke Coll (O) BC,Pembroke Coll (O) BC,16,6,6,Finished,5:47.165
"Oldroyd, Alexander",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Pembroke Coll (O) BC,Pembroke Coll (O) BC,16,7,7,Finished,5:47.165
"Saul, Andrew James",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Pembroke Coll (O) BC,Pembroke Coll (O) BC,16,8,Stroke,Finished,5:47.165
"Taylor, Hannah",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,17,0,Coxswain,Finished,5:47.443
"Oliver, Harrison",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,17,1,Bow,Finished,5:47.443
"Holt, Benjamin",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,17,2,2,Finished,5:47.443
"Spencer, Alex",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,17,3,3,Finished,5:47.443
"Willcox, David",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,17,4,4,Finished,5:47.443
"Lambe, Henry",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,17,5,5,Finished,5:47.443
"Johnson, Edward",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,17,6,6,Finished,5:47.443
"Stroud-Turp, Barnaby",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,17,7,7,Finished,5:47.443
"Trevena, Michael",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Newcastle Univ,Newcastle Univ,17,8,Stroke,Finished,5:47.443
"Dodgson, Johanna",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bristol Univ,Bristol Univ,18,0,Coxswain,Finished,5:47.503
"Allden, John",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bristol Univ,Bristol Univ,18,1,Bow,Finished,5:47.503
"Tufnell, William",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bristol Univ,Bristol Univ,18,2,2,Finished,5:47.503
"Heslop, Alex",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bristol Univ,Bristol Univ,18,3,3,Finished,5:47.503
"Foster, James",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bristol Univ,Bristol Univ,18,4,4,Finished,5:47.503
"Nicholson, Thomas",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bristol Univ,Bristol Univ,18,5,5,Finished,5:47.503
"Kassell Raymond, Elias",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bristol Univ,Bristol Univ,18,6,6,Finished,5:47.503
"Slingsby, Benjamin",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bristol Univ,Bristol Univ,18,7,7,Finished,5:47.503
"Rosen, Harry",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Bristol Univ,Bristol Univ,18,8,Stroke,Finished,5:47.503
"Mills, Edward",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Exeter Univ,Exeter Univ,19,0,Coxswain,Finished,5:47.728
"Irvine, Angus",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Exeter Univ,Exeter Univ,19,1,Bow,Finished,5:47.728
"Hunt, John",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Exeter Univ,Exeter Univ,19,2,2,Finished,5:47.728
"Murray, Cameron",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Exeter Univ,Exeter Univ,19,3,3,Finished,5:47.728
"Mathers, Nicholas",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Exeter Univ,Exeter Univ,19,4,4,Finished,5:47.728
"Peterson, John",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Exeter Univ,Exeter Univ,19,5,5,Finished,5:47.728
"Lofthagen, Carl",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Exeter Univ,Exeter Univ,19,6,6,Finished,5:47.728
"Taylor, Tristan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Exeter Univ,Exeter Univ,19,7,7,Finished,5:47.728
"Scott, Charles",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Exeter Univ,Exeter Univ,19,8,Stroke,Finished,5:47.728
"Fuscone, Charlotte",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,London RC,London RC,20,0,Coxswain,Finished,5:47.840
"Golding, Will",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,London RC,London RC,20,1,Bow,Finished,5:47.840
"O' Flaherty, Aidan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,London RC,London RC,20,2,2,Finished,5:47.840
"Meredith, Joshua Scott",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,London RC,London RC,20,3,3,Finished,5:47.840
